date,year,month,week_start_date,week_number,week_number_year,trailing_7d,attribution_type,channel_type,strategy,platform,channel,market,investment,agency_fees,violet_fee,sessions,phone_calls,form_submissions,leads,first_appointments_completed,second_appointments_completed,repeat_appointments_completed,first_revenue,repeat_revenue,twenty_one_days_revenue,twenty_eight_days_revenue,ninety_days_revenue,one_hundred_eighty_days_revenue,contribution_margin
2024-08-05,2024,2024-8,2024-08-04,32,2024-32,last 7 days,Activity View,Online Referral,Acquisition,Other Online Referral,Other Online Referral,Texas,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-05,2024,2024-8,2024-08-04,32,2024-32,last 7 days,Activity View,Online Referral,Acquisition,Other Online Referral,Other Online Referral,Unknown,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-04,2024,2024-8,2024-08-04,32,2024-32,last 7 days,Activity View,Non Paid-Digital,Acquisition,Direct,Direct,Colorado,0.0,0.0,0.0,19.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-04,2024,2024-8,2024-08-04,32,2024-32,last 7 days,Activity View,Non Paid-Digital,Acquisition,Direct,Direct,Unknown,0.0,0.0,0.0,46.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-04,2024,2024-8,2024-08-04,32,2024-32,last 7 days,Activity View,Non Paid-Digital,Acquisition,Direct,Direct,New York,0.0,0.0,0.0,18.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-04,2024,2024-8,2024-08-04,32,2024-32,last 7 days,Activity View,Non Paid-Digital,Acquisition,Direct,Direct,DMV,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-04,2024,2024-8,2024-08-04,32,2024-32,last 7 days,Activity View,Non Paid-Digital,Acquisition,Direct,Direct,Texas,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-04,2024,2024-8,2024-08-04,32,2024-32,last 7 days,Activity View,Paid-Digital,Acquisition,Google,Google Search,DMV,213.4,0.0,0.0,42.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-04,2024,2024-8,2024-08-04,32,2024-32,last 7 days,Activity View,Paid-Digital,Acquisition,Google,Google PerformanceMax,DMV,65.5,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-04,2024,2024-8,2024-08-04,32,2024-32,last 7 days,Activity View,Paid-Digital,Acquisition,Google,Google Search,Colorado,218.0,0.0,0.0,45.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-04,2024,2024-8,2024-08-04,32,2024-32,last 7 days,Activity View,Paid-Digital,Acquisition,Google,Google PerformanceMax,New York,242.9,0.0,0.0,28.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-04,2024,2024-8,2024-08-04,32,2024-32,last 7 days,Activity View,Brand Paid-Digital,Acquisition,Google,Google Search Brand,Colorado,1.5,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-04,2024,2024-8,2024-08-04,32,2024-32,last 7 days,Activity View,Brand Paid-Digital,Acquisition,Google,Google Search Brand,Texas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
